x,y,url,domain
-5.8517156,17.31987,https://www.reuters.com/lifestyle/sports/statbox-soccer-australia-world-cup-2022-11-03/,www.reuters.com
-8.445484,19.096485,https://www.reuters.com/lifestyle/sports/statbox-soccer-tunisia-world-cup-2022-11-03/,www.reuters.com
-7.781619,18.487331,https://www.reuters.com/lifestyle/sports/statbox-soccer-poland-world-cup-2022-11-03/,www.reuters.com
-7.8092275,17.704874,https://www.reuters.com/lifestyle/sports/statbox-soccer-denmark-world-cup-2022-11-03/,www.reuters.com
-8.804321,-9.777802,https://www.reuters.com/markets/europe/companies-count-cost-ditching-russia-2022-11-03/,www.reuters.com
7.1107173,-10.068198,https://www.reuters.com/business/autos-transportation/europe-warning-light-flashing-carmakers-dashboards-2022-11-03/,www.reuters.com
8.774267,4.4394884,https://www.reuters.com/business/retail-consumer/more-inflation-system-come-uks-sainsburys-2022-11-03/,www.reuters.com
-7.4733706,18.227129,https://www.reuters.com/lifestyle/sports/statbox-soccer-france-world-cup-2022-11-03/,www.reuters.com
-8.940517,18.772017,https://www.reuters.com/lifestyle/sports/statbox-soccer-saudi-arabia-world-cup-2022-11-03/,www.reuters.com
-10.714415,-10.765617,https://www.reuters.com/article/ukraine-crisis-warplanes-idUSKBN2RT1A6,www.reuters.com
7.903833,-0.39713985,https://www.reuters.com/business/finance/wealthy-families-are-migrating-us-south-ubs-is-following-them-2022-11-03/,www.reuters.com
-0.95877904,9.608933,https://www.reuters.com/business/cop/how-mixing-farms-with-forests-can-help-uk-reach-net-zero-2022-11-03/,www.reuters.com
-3.955379,16.433653,https://www.reuters.com/lifestyle/sports/australias-foley-has-world-cup-return-back-his-mind-2022-11-03/,www.reuters.com
-8.385972,-10.288541,https://www.reuters.com/business/energy/ukrainian-gas-company-naftogaz-first-half-loss-widens-16-bln-2022-11-03/,www.reuters.com
-14.181707,9.60022,https://www.reuters.com/world/europe/spain-exhumes-body-general-linked-garcia-lorcas-execution-2022-11-03/,www.reuters.com
-4.4574327,21.37773,https://www.reuters.com/lifestyle/sports/liverpool-chelsea-search-form-world-cup-interlude-looms-2022-11-03/,www.reuters.com
-12.742308,-1.3810086,https://www.reuters.com/legal/agency-powers-under-threat-us-supreme-court-ftc-sec-cases-2022-11-03/,www.reuters.com
0.17015035,-9.6075115,https://www.reuters.com/business/retail-consumer/climate-change-russia-ukraine-war-hit-global-wine-industryoiv-2022-11-03/,www.reuters.com
-17.891417,-3.4529629,https://www.reuters.com/world/americas/el-chapos-hometown-mexico-considers-drug-trafficking-museum-2022-11-03/,www.reuters.com
-17.76063,-3.3531842,https://www.reuters.com/world/americas/mexico-succession-puts-scientist-path-be-first-woman-president-2022-11-03/,www.reuters.com
11.908257,3.5702004,https://www.reuters.com/markets/us/sterling-slumps-ahead-boe-decision-after-fed-hikes-rates-again-2022-11-03/,www.reuters.com
0.32396808,-12.457802,https://www.reuters.com/business/cop/ukraine-war-makes-fossil-fuel-finance-pledge-tricky-italys-climate-envoy-2022-11-03/,www.reuters.com
12.430884,2.385573,https://www.reuters.com/markets/europe/russian-rouble-slides-past-62-vs-dollar-over-2-week-low-2022-11-03/,www.reuters.com
-2.0764575,2.960317,https://www.reuters.com/world/americas/canada-start-targeting-draws-skilled-immigrants-next-year-2022-11-03/,www.reuters.com
12.770115,-1.3706183,https://www.reuters.com/world/china/china-keep-yuan-stable-says-cbank-governor-2022-11-03/,www.reuters.com
13.852079,2.1794863,https://www.reuters.com/markets/us/india-rupee-rupee-drops-after-powell-dashes-pivot-hopes-premiums-fall-2022-11-03/,www.reuters.com
5.3303905,-7.884989,https://www.reuters.com/business/aerospace-defense/boeing-outlines-risky-waiting-game-new-launches-with-eye-airbus-2022-11-03/,www.reuters.com
11.842574,0.18134631,https://www.reuters.com/markets/europe/global-markets-wrapup-1-pix-2022-11-03/,www.reuters.com
0.46636993,20.428904,https://www.reuters.com/lifestyle/sports/nba-roundup-bucks-down-pistons-again-remain-unbeaten-2022-11-03/,www.reuters.com
-9.610236,-8.517633,https://www.reuters.com/world/europe/world-must-stand-with-kyiv-putin-counts-general-winter-eu-says-2022-11-03/,www.reuters.com
-3.9769945,21.614529,https://www.reuters.com/lifestyle/sports/man-united-beat-sociedad-1-0-spanish-side-top-group-2022-11-03/,www.reuters.com
11.078365,1.3364673,https://www.reuters.com/markets/europe/ecb-shouldnt-be-expected-match-fed-hikes-visco-says-2022-11-03/,www.reuters.com
-5.3235083,16.711845,https://www.reuters.com/lifestyle/sports/no-great-expectations-australia-side-lacking-x-factor-2022-11-03/,www.reuters.com
9.731419,0.51191795,https://www.reuters.com/world/us/us-labor-market-unwavering-despite-stiff-interest-rates-hikes-2022-11-03/,www.reuters.com
-1.6287965,15.9714,https://www.reuters.com/lifestyle/sports/scotlands-ex-skipper-hogg-returns-among-six-changes-versus-fiji-2022-11-03/,www.reuters.com
7.2156754,6.6027026,https://www.reuters.com/world/europe/thousands-rally-spain-demand-pay-hikes-amid-high-inflation-2022-11-03/,www.reuters.com
-9.71671,19.196722,https://www.reuters.com/lifestyle/sports/captain-al-faraj-key-saudi-world-cup-hopes-2022-11-03/,www.reuters.com
16.226114,2.8023934,https://www.reuters.com/business/finance/polish-bank-pekao-sent-net-loss-by-payment-holidays-2022-11-03/,www.reuters.com
2.3460608,-11.531103,https://www.reuters.com/business/energy/energy-market-turmoil-shakes-europes-green-power-plan-2022-11-03/,www.reuters.com
-12.734259,8.483639,https://www.reuters.com/world/africa/survivors-guinea-stadium-massacre-recount-horrors-trial-unfolds-2022-11-03/,www.reuters.com
-11.306281,15.06316,https://www.reuters.com/lifestyle/sports/korir-ready-fight-nyc-marathon-title-defence-2022-11-03/,www.reuters.com
-14.518743,3.9063542,https://www.reuters.com/world/us/police-back-republican-candidates-us-midterms-even-those-jan-6-riot-2022-11-03/,www.reuters.com
11.162258,0.4047315,https://www.reuters.com/markets/europe/dollar-gains-traders-gird-higher-us-rates-2022-11-03/,www.reuters.com
-7.2575536,19.538723,https://www.reuters.com/lifestyle/sports/polands-fortunes-qatar-hinge-support-lewandowski-2022-11-03/,www.reuters.com
3.605093,-16.280075,https://www.reuters.com/business/environment/us-epa-grants-50-mln-communities-improve-air-quality-monitoring-2022-11-03/,www.reuters.com
-0.63121915,-11.477663,https://www.reuters.com/business/cop/un-chief-urges-focus-ambition-trust-egypt-climate-summit-2022-11-03/,www.reuters.com
9.310173,4.7913156,https://www.reuters.com/world/uk/bank-englands-mann-says-inflation-drivers-still-strong-2022-11-03/,www.reuters.com
8.465792,0.15475644,https://www.reuters.com/world/us/federal-reserve-rate-hikes-rival-inflation-pain-one-rural-town-2022-11-03/,www.reuters.com
-5.021585,16.827223,https://www.reuters.com/lifestyle/sports/australia-look-fearless-teen-kuol-owen-style-impact-2022-11-03/,www.reuters.com
-13.272844,-9.622705,https://www.reuters.com/world/asia-pacific/japan-considering-hypersonic-missile-deployment-by-2030-nikkei-2022-11-03/,www.reuters.com
-4.188287,3.1656277,https://www.reuters.com/business/sustainable-business/australia-asks-miners-back-referendum-indigenous-rights-2022-11-03/,www.reuters.com
11.79709,-5.9289584,https://www.reuters.com/business/finance/credit-suisse-warns-drop-fee-revenue-2022-11-03/,www.reuters.com
10.367826,-0.6591312,https://www.reuters.com/business/energy/oil-slips-dollar-firms-supply-worries-check-losses-2022-11-03/,www.reuters.com
-6.7929287,22.882317,https://www.reuters.com/lifestyle/sports/tevez-resigns-coach-argentinas-rosario-central-2022-11-03/,www.reuters.com
-6.8214774,18.04313,https://www.reuters.com/lifestyle/sports/more-questions-than-answers-troubled-holders-france-2022-11-03/,www.reuters.com
-4.8898025,-3.8872252,https://www.reuters.com/technology/erdogan-says-he-could-discuss-charge-twitter-blue-check-with-elon-musk-2022-11-03/,www.reuters.com
-4.7783904,-8.023616,https://www.reuters.com/business/media-telecom/us-telecom-regulator-launching-new-space-bureau-2022-11-03/,www.reuters.com
-0.48764434,2.7662835,https://www.reuters.com/markets/highlights-canada-governments-fall-economic-statement-2022-11-03/,www.reuters.com
14.727498,-8.303548,https://www.reuters.com/business/aerospace-defense/emirates-suspends-nigerian-flights-again-over-trapped-ticket-sales-2022-11-03/,www.reuters.com
10.981154,2.6358802,https://www.reuters.com/video/watch/idRW651202112022RP1,www.reuters.com
-6.8361783,8.293336,https://www.reuters.com/article/factcheck-scotland-coronavirus-idUSL1N31Z1X3,www.reuters.com
